Android	ColorTag
4278190080	Black
4283760640	Mahogany
4286578688	Maroon
4289331200	Cherry
4294901760	Red
4294945407	Peach
4289352960	Brown
4294945280	Orange
4294967040	Yellow
4294967167	Lemon
4294967295	White
4290822336	Silver
4289374847	Oyster
4289374720	Olive
4286611456	Pickle
4283782400	Swamp
4278211840	Pine
4278222848	Green
4283804160	Forest
4278255487	Springgreen
4283826047	Mint
4289396607	Kiwi
4289396480	Chartreuse
4283825920	Pistachio
4278255360	Lime
4283804287	Moss
4278222976	Teal
4278211967	Peacock
4278190207	Navy
4278190335	Blue
4278212095	Sea
4278233855	Azure
4283804415	Babyblue
4278255615	Aqua
4283826175	Arctic
4289396735	Sky
4294945535	Lilac
4294902015	Fuchsia
4294901887	Rose
4289331327	Plum
4289353087	Grape
4283782527	Bluegray
4283760895	Ultramarine
4283782655	Purpleblue
4289374975	Lavender
4289353215	Amethyst
4289331455	Violet
4286578816	Purple
4283760767	Aubergine
